_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
270,Dudley Terrace,Dorchester,02125,56,56,0,2,2,0,54,54,0,Rental,Private,,
271,Dudley Village Phase I (North),Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
272,Dudley Village Phase II (South),Dorchester,02125,26,26,0,0,0,0,26,26,0,Rental,Private,,
273,Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2,1,1,5,2,3,Ownership/Rental,Private,,
274,Dunmore Place,Roxbury,02119,6,6,0,0,0,0,6,6,0,Rental,Private,,
275,Dwight St Apts,South End,02118,9,9,0,0,0,0,9,9,0,Rental,Private,,
276,Eagle Hill Rehab,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental,Private,,
277,East Berkeley Street,South End,02118,35,11,24,12,0,12,23,11,12,Ownership/Rental,Private,,
278,East Canton St Apts,South End,02118,80,80,0,0,0,0,80,80,0,Rental,Private,Y,Y
279,East Springfield/Northampton Streets,South End,02118,10,0,10,1,0,1,9,0,9,Ownership,Private,,
280,Ebenezer Homes,South End,02118,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
281,"Echelon (Seaport Square Block M) Towers 1, 2, and 3",South Boston Waterfront,02127,717,270,447,689,246,443,28,24,4,Ownership/Rental,Private,,
282,Edison Green,Dorchester,02125,95,95,0,1,1,0,94,94,0,Rental,Private,Y,Y
283,Edson|Peacevale NHI,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
284,Edson|Peacevale NHI (30 Milton),Dorchester,02124,1,0,1,0,0,0,1,0,1,Rental,Private,,
285,Edward Everett Square,Dorchester,02125,6,0,6,4,0,4,2,0,2,Ownership,Private,,
286,Egleston Crossing,Roxbury,02119,64,64,0,1,1,0,63,63,0,Rental,Private,,
287,Eleven West (Lechmore Point),South Boston,02127,50,50,0,44,44,0,6,6,0,Rental,Private,,
288,Elizabeth Stone House - Washington Westminster,Roxbury,02119,32,32,0,0,0,0,32,32,0,Rental,Private,,
289,Elm Hill/Seaver St Conversion,Roxbury,02121,18,18,0,15,15,0,3,3,0,Rental,Private,,
290,Elven Road,Roslindale,02131,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
291,Emerson Place - Charles River Park,West End,02114,320,320,0,284,284,0,36,36,0,Rental,Private,,
292,Epps (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
293,Erie-Ellington Homes,Dorchester,02121,100,100,0,0,0,0,100,100,0,Rental,Private,,
294,Esperanza Walnut,Roxbury,02119,42,42,0,0,0,0,42,42,0,Rental,Private,,Y
295,ETC Associates,South End,02118,71,71,0,0,0,0,71,71,0,Rental,Private,,Y
296,Eutaw/Meridian,East Boston,02128,1,0,1,0,0,0,1,0,1,Rental,Private,,
297,Eva White (2-41),South End,02116,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
298,Factory 63,South Boston Waterfront,02127,62,62,0,51,51,0,11,11,0,Rental,Private,,
299,Fairfield Properties,Roxbury,02119,30,30,0,0,0,0,30,30,0,Rental,Private,,
300,Fairmount/Garfield (200-5),Hyde Park,02136,202,202,0,0,0,0,202,202,0,Rental,Public,,
301,Fan Pier Parcel C,South Boston Waterfront,02110,108,0,108,106,0,106,2,0,2,Ownership,Private,,
302,Fan Pier Parcel D,South Boston Waterfront,02210,120,0,120,116,0,116,4,0,4,Ownership,Private,,
303,Faneuil/ N. Beacon (200-4),Brighton,02135,256,256,0,0,0,0,256,256,0,Rental,Public,,
304,Farnsworth House,Jamaica Plain,02130,76,76,0,1,1,,75,75,0,Rental,Private,Y,Y
305,Father Walter J Martin Cooperative Homes,South Boston,02127,34,34,0,0,0,0,34,34,0,Rental,Private,,
306,FDIC Scattered Site Condo Project,Brighton,02135,9,4,5,0,0,0,9,4,5,Ownership/Rental,Private,,
307,Fensgate Coop,Fenway,02115,46,46,0,0,0,0,46,46,0,Cooperative,Private,,
308,Fenway Center Phase 1/Buildings 1 & 2,Fenway,02215,316,316,0,289,289,0,27,27,0,Rental,Private,,
309,Fenway Condominiums,Fenway,02115,55,55,0,33,33,0,22,22,0,Rental,Private,,
310,Fenway Condos,Fenway,02215,3,0,3,0,0,0,3,0,3,Ownership,Private,,
311,Fenwick Gardens - Home Again,Dorchester,02125,15,1,14,0,0,0,15,1,14,Ownership/Rental,Private,,
312,Fernald State School (689-?),Dorchester,02125,8,8,0,0,0,0,8,8,0,Rental,Public,,
313,Fieldstone Apartments,Dorchester,02124,84,84,0,0,0,0,84,84,0,Rental,Private,,Y
314,First & First (Phase I & II),South Boston,02127,47,0,47,20,0,20,27,0,27,Ownership,Private,,
315,Florence Apartments,Roslindale,02131,138,138,0,3,3,0,135,135,0,Rental,Private,,Y
316,Foley (William J) Apts (2-30),South Boston,02127,96,96,0,0,0,0,96,96,0,Rental,Public,Y,
317,Forbes Building,Jamaica Plain,02130,147,147,0,0,0,0,147,147,0,Rental,Private,Y,Y
318,Forbes Street Residences,Jamaica Plain,02130,35,0,35,29,0,29,6,0,6,Ownership,Private,,
319,Ford (VUP),Mattapan,02126,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
320,Forecaster Building,West End,02114,80,0,80,73,0,73,7,0,7,Ownership,Private,,
321,Forest Glenn Coop,Jamaica Plain,02130,13,13,0,0,0,0,13,13,0,Cooperative,Private,,
322,Forest Hills Apts,Jamaica Plain,02130,108,108,0,9,9,0,99,99,0,Rental,Private,Y,Y
323,Forest Hills Cooperative,Jamaica Plain,02130,87,87,0,0,0,0,87,87,0,Cooperative,Private,Y,Y
324,Forest|Vine NHI 1,Roxbury,02119,5,2,3,0,0,0,5,2,3,Ownership/Rental,Private,,
325,Forest|Vine NHI 2,Roxbury,02119,3,0,3,0,0,0,3,0,3,Ownership,Private,,
326,Fort Hill Gardens,Roxbury,02119,40,40,0,0,0,0,40,40,0,Rental,Private,,Y
327,Fort Point Place,South Boston Waterfront,02210,117,0,117,103,0,103,14,0,14,Ownership,Private,,
328,Foster (VUP),Roxbury,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
329,Fountain Hill,Roxbury,02119,46,0,46,26,0,26,20,0,20,Ownership,Private,,
330,Four Corners/Washington,Dorchester,02121,35,35,0,0,0,0,35,35,0,Rental,Private,,
331,Fox Hall,Dorchester,02125,15,15,0,0,0,0,15,15,0,Rental,Private,,
332,"Franklin Field Family (2-89A,90-93)",Dorchester,02124,346,346,0,0,0,0,346,346,0,Rental,Public,Y,
333,Franklin Field South/Highland Pk Estates,Dorchester,02124,22,4,18,0,0,0,22,4,18,Ownership/Rental,Private,,
334,Franklin Fld South II - HOME AGAIN,Dorchester,02124,23,1,22,0,0,0,23,1,22,Ownership/Rental,Private,,
335,Franklin Hill (2-9),Dorchester,02124,365,365,0,0,0,0,365,365,0,Rental,Private,,
336,Franklin Park Apts,Dorchester,02121,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
337,Franklin Park I,Roxbury,02121,270,270,0,0,0,0,270,270,0,Rental,Private,,Y
338,Franklin Park II,Roxbury,02121,136,136,0,0,0,0,136,136,0,Rental,Private,,
339,Franklin Square House,South End,02118,193,193,0,0,0,0,193,193,0,Rental,Private,Y,Y
340,Frederick Douglass (2-44A),South End,02118,76,76,0,0,0,0,76,76,0,Rental,Public,Y,
341,Friend's House,Jamaica Plain,02130,9,9,0,0,0,0,9,9,0,Rental,Private,,
342,Fulton Court Condominium,North End,02109,67,0,67,61,0,61,6,0,6,Ownership,Private,,
343,Gallivan Boulevard (200-10),Mattapan,02126,251,251,0,0,0,0,251,251,0,Rental,Public,,
344,Gardner Crawford Thane,Roxbury,02119,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
345,Gardner Flats Condominium,Allston,02134,14,0,14,12,0,12,2,0,2,Ownership,Private,,
346,"GARDNER, CRAWFORD, THANE",Roxbury,02119,64,64,0,0,0,0,64,64,0,Rental,Private,,
347,Garrison Trotter Phase I - HOME AGAIN,Roxbury,02121,18,2,16,6,0,6,12,2,10,Ownership/Rental,Private,,
348,Gatehouse 75,Charlestown,02129,99,99,0,87,87,0,12,12,0,Rental,Private,,
349,Gatehouse Units,South End,02118,14,14,0,0,0,0,14,14,0,Rental,Private,,
350,Gateway Terrace - Dover Residences,South End,02119,133,0,133,120,0,120,13,0,13,Ownership,Private,,
351,General Heath Square,Jamaica Plain,02130,47,47,0,0,0,0,47,47,0,Rental,Private,,
352,General Warren Apts (2-47),Charlestown,02129,96,96,0,0,0,0,96,96,0,Rental,Public,Y,
353,Geneva Apartments,Dorchester,02121,47,47,0,0,0,0,47,47,0,Rental,Private,,Y
354,Geneva Ave 202 - Pine Street,Dorchester,02121,11,11,0,1,1,0,10,10,0,Rental,Private,Y,
355,Geneva Avenue Elderly Housing,Dorchester,02121,45,45,0,0,0,0,45,45,0,Rental,Private,Y,
356,Georgetowne Housing I,West Roxbury,02136,601,601,0,56,56,0,545,545,0,Rental,Private,,
357,Georgetowne Housing II,West Roxbury,02136,366,366,0,0,0,0,366,366,0,Rental,Private,,
358,Gleason Street MIHI Package 2,Dorchester,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,
359,Glenville Apartments,Allston,02134,117,117,0,0,0,0,117,117,0,Rental,Private,,Y
360,Glenway|Roxton NHI,Dorchester,02121,6,3,3,0,0,0,6,3,3,Ownership/Rental,Private,,
361,Goddard House,Jamaica Plain,02115,149,149,0,130,130,0,19,19,0,Rental,Private,,
362,Gomes (VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
363,Goodale Rd. - HOME AGAIN,Mattapan,02126,10,5,5,0,0,0,10,5,5,Ownership/Rental,Private,,
364,Gordon's Wood,West Roxbury,02132,42,0,42,37,0,37,5,0,5,Ownership,Private,,
365,Governor Apartments,Brighton,02134,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
366,Grand families,Dorchester,02124,27,27,0,1,1,0,26,26,0,Rental,Private,,
367,Granite 1B:VBC Apts.-Blue Hill,Roxbury,02121,30,30,0,0,0,0,30,30,0,Rental,Private,,Y
368,Granite 3-Blue Hill,Roxbury,02121,148,148,0,0,0,0,148,148,0,Rental,Private,,Y
369,Granite 4B,Roxbury,02121,141,141,0,0,0,0,141,141,0,Rental,Private,,Y
370,Granite-Dorchester Bay,Dorchester,02125,134,134,0,0,0,0,134,134,0,Rental,Private,,Y
371,Granite-Fields Corner,Dorchester,02121,67,67,0,0,0,0,67,67,0,Rental,Private,,Y
372,Granite-La Concha/Nuestra,Roxbury,02119,97,97,0,0,0,0,97,97,0,Rental,Private,,Y
373,Granite-Lena Park,Dorchester,02121,143,143,0,0,0,0,143,143,0,Rental,Private,,Y
374,Granite-Quincy-Geneva,Dorchester,02121,94,94,0,0,0,0,94,94,0,Rental,Private,,Y
375,Granite-Walnut Washington,Roxbury,02119,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
376,Granite-Washington Columbia I,Dorchester,02121,326,326,0,0,0,0,326,326,0,Rental,Private,,Y
377,Grant Manor Apartments,Roxbury,02118,179,179,0,0,0,0,179,179,0,Rental,Private,,Y
378,Green (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
379,Green (VUP) CDFI,Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
380,Greenway Apartments,East Boston,02128,27,27,0,0,0,0,27,27,0,Rental,Private,,
381,Grove Hall Apts,Dorchester,02121,104,104,0,0,0,0,104,104,0,Rental,Private,,Y
382,Grubow (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
383,Guaetta (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
384,Habitat Arrowhead Site (REMS Land),Dorchester,02121,19,0,19,0,0,0,19,0,19,Ownership,Private,,
385,Habitat Balina Pl,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
386,Habitat Bradeen St,Roslindale,02131,2,0,2,0,0,0,2,0,2,Ownership,Private,,
387,Habitat Fairland St,Roxbury,02119,3,0,3,0,0,0,3,0,3,Ownership,Private,,
388,Habitat Regent Street,Roxbury,02119,6,0,6,0,0,0,6,0,6,Ownership,Private,,
389,Habitat Woodbine St,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
390,Habitat-Woodville Street,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
391,Hale House,Back Bay,02116,56,56,0,0,0,0,56,56,0,Rental,Private,Y,
392,Haley House,South End,02118,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
393,Hamilton St Studios/Pine Street,Dorchester,02125,52,52,0,0,0,0,52,52,0,Rental,Private,?,
394,Hammond Street,Roxbury,02120,14,14,0,0,0,0,14,14,0,Rental,Private,,
395,Hampton House (2-44B),Roxbury,02118,78,78,0,0,0,0,78,78,0,Rental,Public,Y,
396,Hano Homes II,Allston,02134,12,0,12,0,0,0,12,0,12,Ownership,Private,,
397,Haraska (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
398,Harbor Point,Dorchester,02125,350,350,0,0,0,0,350,350,0,Rental,Private,Y,Y
399,Harborview Condominiums,South Boston,02127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
400,Hargrove (VUP),Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
401,Harrison Commons,South End,02118,196,9,187,186,0,186,10,9,1,Ownership/Rental,Private,,
402,Harrison-Albany Block Building A,South End,02118,299,299,0,269,269,0,30,30,0,Rental,Private,,
403,Hartford Manor,Roxbury,02125,18,18,0,0,0,0,18,18,0,Rental,Private,,
404,Hartwell Terrace,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental,Private,Y,Y
405,Harvard Commons Coop,Dorchester,02124,45,45,0,0,0,0,45,45,0,Rental,Private,,
406,Hassan Apts (2-62),Hyde Park,02136,100,100,0,0,0,0,100,100,0,Rental,Public,Y,
407,Hazel Parks,Dorchester,02124,48,0,48,0,0,0,48,0,48,Ownership,Private,,
408,Hearth at 4-Corners,Dorchester,02121,54,54,0,0,0,0,54,54,0,Rental,Private,,
409,Hearth at Olmsted Green,Dorchester,02124,59,59,0,0,0,0,59,59,0,Rental,Private,,
410,Hemenway Apartments,Fenway,02115,183,183,0,0,0,0,183,183,0,Rental,Private,Y,Y
411,Heritage Apts (2-52),East Boston,02128,296,296,0,0,0,0,296,296,0,Rental,Public,Y,Y
412,Heritage at Cleveland Circle,Brighton,02135,90,90,0,0,0,0,90,90,0,Rental,Private,Y,
413,Hiawatha|Mattapan Neighborhood Homes,Mattapan,02126,8,2,6,2,1,1,6,1,5,Ownership,Private,,
414,Highland Homes at Fort Hill - Home Again,Roxbury,02119,18,0,18,4,0,4,14,0,14,Ownership,Private,,
415,Highland House,Roxbury,02119,14,14,0,0,0,0,14,14,0,Rental,Private,,
416,Highland Park (2-89B),Roxbury,02119,26,26,0,0,0,0,26,26,0,Rental,Public,,
417,Highland Park Estates - Home Again,Roxbury,02119,6,1,5,0,0,0,6,1,5,Ownership/Rental,Private,,
418,Highland Park II (Affordable),Roxbury,02119,11,1,10,3,0,3,8,1,7,Ownership/Rental,Private,,
419,Hillside Homes at Franklin Park,Jamaica Plain,02130,12,0,12,10,0,10,2,0,2,Ownership,Private,,
420,Historic South End Apartments,South End,02116,146,146,0,0,0,0,146,146,0,Rental,Private,,Y
421,Hoffman (VUP) CDFI,Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
422,Holgate Apartments (2-29),Roxbury,02120,81,81,0,1,1,0,80,80,0,Rental,Public,Y,
423,Holmes (VUP),Dorchester,02121,2,2,0,1,1,0,1,1,0,Rental,Private,,
424,Home Again (Back of the Hill),Mission Hill,02120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,
425,Home For Little Wanderers,Mission Hill,02120,20,20,0,0,0,0,20,20,0,Rental,Private,,
426,Homes at Peter's Park,South End,02118,10,0,10,7,0,7,3,0,3,Ownership,Private,,
427,Homestead House,Roxbury,02121,6,6,0,1,1,0,5,5,0,Rental,Private,,
428,Hope House (SPO) (Production),Roxbury,02119,102,102,0,0,0,0,102,102,0,Rental,Private,,
429,Hope House II,Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
430,Hopkins-Capen-Mountain-Fuller,Dorchester,02124,9,5,4,0,0,0,9,5,4,Ownership/Rental,Private,,
431,Horizons I,Mattapan,02126,7,7,0,1,1,0,6,6,0,Rental,Public,,
432,Howard Dacia Homes,Roxbury,02125,26,26,0,0,0,0,26,26,0,Rental,Private,,
433,Howard/Woodward/Dean,Roxbury,02125,9,0,9,0,0,0,9,0,9,Ownership,Private,,
434,Hub 25,Dorchester,02124,278,278,0,242,242,0,36,36,0,Rental,Private,,
435,Humboldt Avenue Apts,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
436,Humphreys St Housing Homeownership,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
437,Humphreys St Housing Rental,Dorchester,02125,11,11,0,0,0,0,11,11,0,Rental,Private,,
438,Humphreys Street Homeowner,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
439,Hunt (VUP),Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
440,Huntington House,Fenway,02115,88,88,0,0,0,0,88,88,0,Rental,Public,,
441,Hurley (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
442,Hyde Square Commons,Jamaica Plain,02130,18,0,18,17,0,17,1,0,1,Ownership,Private,,
443,Hyde Square Coop,Jamaica Plain,02130,42,42,0,0,0,0,42,42,0,Cooperative,Private,,
444,Hyde/Jackson Homes,Jamaica Plain,02130,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,
445,Hyde-Blakemore,Roslindale,02131,13,0,13,0,0,0,13,0,13,Ownership,Private,,
446,IBA SRO Collaborative,South End,02118,11,11,0,0,0,0,11,11,0,Rental,Private,,
447,Independent Living Project,Hyde Park,02136,6,6,0,0,0,0,6,6,0,Rental,Private,,
448,Indigo Block (Rental),Dorchester,02125,80,80,0,0,0,0,80,80,0,Rental,Private,,
449,Infill Apartments,Roxbury,02119,13,13,0,0,0,0,13,13,0,Rental,Private,,
450,Infill Colaborative,Roxbury,02120,4,0,4,3,0,3,1,0,1,Ownership,Private,,
451,Infill I,Dorchester,02121,48,0,48,31,0,31,17,0,17,Ownership,Private,,
452,Infill I (MHFA) ?,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Public,,
453,Ingram (VUP),Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
454,Ink Block (Buildings 1-3),South End,02118,315,315,0,274,274,0,41,41,0,Rental,Private,,
455,Ink Block Sepia (Building 4),South End,02118,77,0,77,69,0,69,8,0,8,Ownership,Private,,
456,Ink Block Siena (Building 5),South End,02118,76,0,76,74,0,74,2,0,2,Ownership,Private,,
457,Interfaith Apartments,South End,02118,69,69,0,0,0,0,69,69,0,Rental,Private,,Y
458,Intervale St. HOME AGAIN,Dorchester,02121,15,2,13,0,0,0,15,2,13,Ownership/Rental,Private,,
459,Intervale-Fayston,Dorchester,02121,5,3,2,0,0,0,5,3,2,Ownership/Rental,Private,,
460,Intervale-Magnolia,Dorchester,02121,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
461,J.J. Carroll Apts (2-37),Brighton,02135,64,64,0,0,0,0,64,64,0,Rental,Public,Y,
462,J.J. Meade (2-38),Dorchester,02124,40,40,0,1,1,0,39,39,0,Rental,Public,Y,
463,Jackson (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
464,Jackson Commons,Roxbury,02119,37,37,0,0,0,0,37,37,0,Rental,Private,,
465,Jackson Square Building M,Roxbury,02119,44,44,0,0,0,0,44,44,0,Rental,Private,,
466,Jacob's Place,Dorchester,02121,12,0,12,0,0,0,12,0,12,Ownership,Private,,
467,Jamaica Plain Apartments,Jamaica Plain,02130,103,103,0,0,0,0,103,103,0,Rental,Private,,Y
468,Jamaica Plains Coop Serv,Jamaica Plain,02130,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
469,Jewish Community Housing for the Elderly,Brighton,02135,61,0,61,0,0,0,61,61,0,Rental,Private,Y,
470,John Boyle O'Reilly School,South Boston,02127,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
471,Johnson (VUP) CDFI,Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
472,JP Cohousing,Jamaica Plain,02130,30,0,30,27,0,27,3,0,3,Ownership,Private,,
473,Julia Martin House,Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental,Private,Y,
474,Julian Phase I - HOME AGAIN,Roxbury,02119,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,
475,KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,
476,Kasanof Bakery (Rental & Ownership),Roxbury,02119,64,48,16,0,0,0,64,48,16,Ownership/Rental,Private,,
477,Keazer (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
478,Kelley (VUP),Jamaica Plain,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
479,Kenmore Abbey,Fenway,02215,199,199,0,1,1,0,198,198,0,Rental,Private,Y,Y
480,Ketchen (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
481,Keystone Apartments,Dorchester,02124,223,223,0,1,1,0,222,222,0,Rental,Private,Y,Y
482,Kimbrough (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
483,Kittredge Square,Roxbury,02119,6,0,6,3,0,3,3,0,3,Ownership,Private,,
484,Laboure,South Boston,02127,18,18,0,0,0,0,18,18,0,Rental,Private,,
485,Laconia Condominiums,South End,02124,99,0,99,71,0,71,28,0,28,Ownership,Private,,
486,Lafayette Lofts,Downtown,02111,42,0,42,38,0,38,4,0,4,Ownership,Private,,
487,Lamartine Homes - Home Again,Jamaica Plain,02130,10,2,8,0,0,0,10,2,8,Ownership/Rental,Private,,
488,Lancaster House Condominium,South End,02118,4,0,4,0,0,0,4,0,4,Ownership,Private,,
489,Landfall Apartments,East Boston,02128,111,111,0,16,16,0,95,95,0,Rental,Private,Y,Y
490,Landfall West Apts,East Boston,02128,59,59,0,0,0,0,59,59,0,Rental,Private,Y,
491,Langham Court,South End,02118,84,84,0,29,29,0,55,55,0,Rental,Private,,
492,Laramie (VUP),Hyde Park,02136,2,1,1,1,0,1,1,1,0,Rental,Private,,
493,Larchmont Residence,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Private,,
494,Larkin (VUP),Jamaica Plain,02130,1,1,0,0,0,0,1,1,0,Rental,Private,,
495,Latin Academy Adaptive Re-use,Dorchester,02124,58,58,0,38,38,0,20,20,0,Rental,Private,,
496,Lawrence (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
497,Lawrence Court,South End,02116,12,0,12,9,0,9,3,0,3,Ownership,Private,,
498,LBB Housing,Dorchester,02126,101,101,0,0,0,0,101,101,0,Rental,Private,,Y
499,Leila Doe House,Mission Hill,02120,20,20,0,1,1,0,19,19,0,Rental,Private,,
500,Lenox Street (2-4),Roxbury,02118,285,285,0,0,0,0,285,285,0,Rental,Public,,
501,Levedo Building,Dorchester,02124,24,24,0,0,0,0,24,24,0,Rental,Private,,
502,Leventhal House,Brighton,02135,254,254,0,1,1,0,253,253,0,Rental,Private,Y,Y
503,Lewis Mall,East Boston,02128,47,47,0,0,0,0,47,47,0,Rental,Private,Y,
504,Lithgow Apts,Dorchester,02124,31,31,0,0,0,0,31,31,0,Rental,Private,,
505,Little Chestnut Street Condominium,Charlestown,02129,6,0,6,0,0,0,6,0,6,Ownership,Private,,
506,Lofts at Westinghouse Plaza,Hyde Park,02136,62,16,46,53,16,37,9,0,9,Rental,Private,,
507,LOGO Apts (73u),Roxbury,02119,91,91,0,0,0,0,91,91,0,Rental,Private,,Y
508,Long Glen Apartments,Allston,02134,59,59,0,0,0,0,59,59,0,Rental,Public/Private,,
509,Long Glen Rental II (formerly homeownership),Allston,02134,33,33,0,0,0,0,33,33,0,Rental,Private,,
510,Longfellow School,Roslindale,02131,44,44,0,0,0,0,44,44,0,Rental,Private,Y,
511,Longwood Row,Mission Hill,02120,25,25,0,21,21,0,4,4,0,Rental,Private,,
512,Lorenzo Pitts Portfolio (JPNCD 2018),Roxbury,02119,137,137,0,0,0,0,137,137,0,Rental,Private,,Y
513,Lowell Square,West End,02114,183,183,0,0,0,0,183,183,0,Rental,Private,,Y
514,Lower Mills (2-57),Dorchester,02124,178,178,0,0,0,0,178,178,0,Rental,Public,Y,Y
515,Lower Roxbury Tenant Corp,Roxbury,02120,70,70,0,17,17,0,53,53,0,Rental,Private,,
516,Lucerne Gardens,Dorchester,02124,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
517,Lucky Strike Residential Project,Dorchester,02122,22,3,19,19,0,19,3,3,0,Ownership/Rental,Private,,
518,Luis (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
519,Lumen,Charlestown,02129,30,0,30,26,0,26,4,0,4,Ownership,Private,,
520,Lyman School Apts for the Elderly,East Boston,02128,45,45,0,0,0,0,45,45,0,Rental,Private,Y,Y
521,M Walsh (VUP),Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
522,M.E. McCormack (2-23),South Boston,02127,1016,1016,0,0,0,0,1016,1016,0,Rental,Public,,
523,M.L. King Apartments (2-40),Roxbury,02119,104,104,0,2,2,0,102,102,0,Rental,Public,Y,
524,M.R. Smith (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
525,Madison Melnea Cass Apts,Roxbury,02119,76,76,0,4,4,0,72,72,0,Rental,Public/Private,,
526,Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),Roxbury,02119,30,30,0,9,9,0,21,21,0,Rental,Private,,
527,Madison Park III,Roxbury,02120,120,120,0,0,0,0,120,120,0,Rental,Private,,Y
528,Madison Park IV,Roxbury,02119,143,143,0,0,0,0,143,143,0,Rental,Private,,
529,Main Street Townhouses,Charlestown,02129,26,0,26,16,0,16,10,0,10,Ownership,Private,,
530,MainStay House,Charlestown,02129,14,14,0,0,0,0,14,14,0,Rental,Private,,
531,Malone Apts (2-89C),Hyde Park,02136,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
532,Mandela Homes,Roxbury,02118,276,276,0,0,0,0,276,276,0,Rental,Private,,Y
533,Manganello (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
534,Maple Commons,Roxbury,02119,41,41,0,0,0,0,41,41,0,Rental,Private,,
535,Marcus Garvey Gardens,Roxbury,02119,161,161,0,0,0,0,161,161,0,Rental,Private,Y,Y
536,Marksdale Gardens I&II,Roxbury,02121,178,178,0,0,0,0,178,178,0,Cooperative,Private,,Y
537,Marriro (VUP) CDFI,Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
538,Martinex-Alamo (VUP),Roxbury,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
539,Mary Colbert Apartments,Charlestown,02129,30,30,0,0,0,0,30,30,0,Rental,Private,Y,Y
540,Mason Place,Downtown,02111,128,128,0,0,0,0,128,128,0,Rental,Private,Y,Y
